2021-10-25 7:31:26 - PHP Warning:  mysqli::__construct(): (HY000/1049): Unknown database 'opencart' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 8
2021-10-25 7:35:18 - PHP Unknown:  Required parameter $store_id follows optional parameter $product_ids in C:\xampp\htdocs\opencart\admin\model\extension\advertise\google.php on line 341
2021-10-25 7:35:18 - PHP Unknown:  Required parameter $store_id follows optional parameter $data in C:\xampp\htdocs\opencart\admin\model\extension\advertise\google.php on line 413
2021-11-01 8:59:39 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart\system\library\mail\mail.php on line 77
2021-11-01 9:09:37 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart\system\library\mail\mail.php on line 77
2021-11-01 9:09:38 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart\system\library\mail\mail.php on line 77
2021-11-01 10:27:01 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart\system\library\mail\mail.php on line 77
2021-11-18 9:57:15 - PHP Unknown:  Required parameter $order_id follows optional parameter $data in C:\xampp\htdocs\opencart\catalog\model\extension\payment\paytm.php on line 37
2021-11-18 10:40:18 - PHP Warning:  Undefined array key "approval" in C:\xampp\htdocs\opencart\catalog\model\account\customer.php on line 14
2021-11-18 10:40:18 - PHP Warning:  Undefined array key "approval" in C:\xampp\htdocs\opencart\catalog\model\account\customer.php on line 18
2021-11-18 10:40:19 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart\system\library\mail\mail.php on line 77
2021-11-18 10:41:01 - PHP Warning:  Undefined array key "customer_group_id" in C:\xampp\htdocs\opencart\admin\controller\customer\customer.php on line 1031
2021-11-18 10:44:28 - PHP Unknown:  Required parameter $order_id follows optional parameter $data in C:\xampp\htdocs\opencart\catalog\model\extension\payment\paytm.php on line 37
2021-11-18 10:44:36 - PHP Unknown:  Required parameter $order_id follows optional parameter $data in C:\xampp\htdocs\opencart\catalog\model\extension\payment\paytm.php on line 37
2021-11-18 10:44:38 - PHP Unknown:  Required parameter $order_id follows optional parameter $data in C:\xampp\htdocs\opencart\catalog\model\extension\payment\paytm.php on line 37
2021-11-18 10:45:54 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart\system\library\mail\mail.php on line 77
